"adult","budget","cast","genres","id","keywords","original_title","overview","popularity","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","vote_average","vote_count"
"False","0","Hal Holbrook; Katharine Ross; Richard Anderson; Barry Bostwick; Bill Fiore; Phil Leeds; Eve McVeagh","Mystery; Crime; TV Movie; Horror","256166","gun; partner in crime","Murder by Natural Causes","Allison, the unfaithful wife of a famous mentalist with a heart problem, together with her lover tries to kill him by scaring him to death, but the whole thing goes downhill when it turns out that he knew about it all along.","1.040928","CBS Entertainment Productions","United States of America","1979-02-17","0.0","100.0","English","Released","","Murder by Natural Causes","0.0","0.0"
"False","0","Eric Roberts; Danielle Harris; Felissa Rose; Brian Gallagher; Ashley Sumner; Nicole Cinaglia; Joe Raffa; Montana Marks; Gnomi Gre; Kyle Patrick Brennan; Davy Raphaely; Angel Sanchez; Alexander Mandell","Thriller; Horror; Mystery","252189","blood; camp; slasher","Camp Dread","The “Summer Camp” horror trilogy was one of the most popular franchises of the 1980s. However, the decade ended and so did director Julian Barrett’s career. Now Barrett plans to resurrect his gory series via a modern reboot patterned after reality filmmaking. With his former leading lady and an eclectic group of 10 young “contestants,” Barrett returns to the same locale where his old splatter-fests were filmed. When one of the campers is found savagely murdered, they realize there’s more at stake than just fame and fortune. Each of them is in a fight for their lives as they realize summer is over – forever.","0.985039","Class of 85 LLC","United States of America","2014-04-15","0.0","90.0","English","Released","Pitch your tent, dig your grave.","Camp Dread","4.6","8.0"
"False","0","Bill Farmer; Jason Marsden; Pauly Shore; Rob Paulsen; Jeff Bennett; Brad Garrett; Vicki Lewis; Bebe Neuwirth; Jim Cummings","Animation; Family; Comedy","15653","skateboarding; father son relationship; college; sport; duringcreditsstinger; father son conflict","An Extremely Goofy Movie","It's all extreme sports and a life of freedom as Max sets off for college -- but Goofy misses Max so much he loses his job and goes to finish college alongside Max and his friends. But as Goofy tries to get closer to Max, both must go to the extreme to learn how to live their own lives together.","10.368424","Walt Disney Television Animation","Australia; United States of America","2000-02-29","0.0","79.0","English","Released","","An Extremely Goofy Movie","6.0","123.0"
"False","0","Broderick Crawford; Barbara Hale; Johnny Stewart; Lloyd Bridges; Mickey Shaughnessy; George Mathews; Hugh Sanders; Ric Roman; Chubby Johnson; Martin Milner; Milton Parsons; Jack Woody; John War Eagle; George Chesebro; Steve Forrest; Harry Harvey; Jay Silverheels; Carleton Young","Western; Action; Adventure","41468","desert; stagecoach","Last of the Comanches","It's 1876 and all the Indians are at peace except the Comanches lead by Black Cloud. When Black Cloud wipes out a town, only six soldiers are left and they head for the nearest fort. In the desert they are reinforced by members of a stagecoach and find some water at a deserted mission. Pinned down by Black Cloud they send an Indian boy who was Black Cloud's prisoner on to the fort while they try to bargain with Black Cloud whom they learn is without water.","1.058964","Columbia Pictures Corporation","United States of America","1953-02-01","0.0","85.0","English","Released","Ten men ... a woman ... and only a ghost of a chance !","Last of the Comanches","6.0","5.0"
"False","0","Myrna Loy; Robert Mitchum; Louis Calhern; Shepperd Strudwick; Peter Miles; Margaret Hamilton; Patty King; Jackie Jackson; Beau Bridges","Action; Drama; Western","23395","pony","The Red Pony","Peter Miles stars as Tom Tiflin, the little boy at the heart of this John Steinbeck story set in Salinas Valley. With his incompatible parents -- the city-loving Fred (Shepperd Strudwick) and country-happy Alice (Myrna Loy) -- constantly bickering, Tom looks to cowboy Billy Buck (Robert Mitchum) for companionship and paternal love.","0.843101","Republic Pictures","United States of America","1949-03-28","0.0","91.0","English","Released","","The Red Pony","5.0","7.0"
"False","0","Lori Alan; Carlos Alazraqui; Tim Allen; Bob Bergen; Blake Clark; Josh Cooley; Joan Cusack; John Cygan; Timothy Dalton; Emily Forbes; Emily Hahn; Tom Hanks; Jess Harnell; Estelle Harris; Kitt Hirasaki; Jane Lynch; Teddy Newton; John Ratzenberger; Don Rickles; Wallace Shawn","Animation; Family","82424","fast food restaurant; toys; fast food; toy story; pixar animation","Small Fry","A fast food restaurant mini variant of Buzz forcibly switches places with the real Buzz and his friends have to deal with the obnoxious impostor.","9.858179","Pixar Animation Studios","United States of America","2011-11-23","0.0","7.0","English","Released","","Small Fry","6.8","118.0"
"False","0","Audie Murphy; Mari Blanchard; Lyle Bettger; Lori Nelson; Thomas Mitchell; Edgar Buchanan; Wallace Ford; Mary Wickes; Alan Hale Jr.; Lee Aaker","Western","94176","frontier town","Destry","Western remake of """"Destry Rides Again"""", starring Audie Murphy, Mari Blanchard, Thomas Mitchell, Lori Nelson and Lyle Bettger.","0.647708","Universal International Pictures (UI)","United States of America","1954-12-01","0.0","95.0","English","Released","From the roaring , raucous, rowdy pages of the best-loved legend of the West!","Destry","4.7","10.0"
"False","0","Chris Cooper; Richard Dreyfuss; Thora Birch; Maria Bello; Miguel Ferrer","Comedy; Drama; Mystery; Thriller","18711","","Silver City","The discovery of a corpse threatens to unravel a bumbling local politician's campaign for governor of Colorado.","1.534733","","United States of America","2004-09-17","0.0","128.0","English","Released","","Silver City","6.3","13.0"
"False","0","Steve Martin; Dan Aykroyd; Phil Hartman; Glenne Headly; Daryl Mitchell; Chris Rock; Mitchell Whitfield; Eric Edwards; Austin Pendleton; Debra Jo Rupp; Max Casella; Richard Herd; Dan Ferro; Brian Leckner","Comedy; Family","9099","gulf war; u.s. army; based on tv series; military spoof","Sgt. Bilko","The army is known for churning out lean mean fighting machines intent on protecting our great nation. Martin is the inexplicable the incorrigible the invicible sgt. Ernie bilko leader of a ragtag group of the sorriest soldiers ever to enlist in the armed forces.","5.70904","Imagine Entertainment; Universal Pictures","United States of America","1996-03-29","0.0","90.0","English","Released","All he ever wanted was an honest week's pay for an honest day's work.","Sgt. Bilko","5.5","96.0"
"False","0","Bolek Polívka; Anna Šišková; Csongor Kassai; Jaroslav Dušek; Martin Huba; Jiří Pecha; Simona Stašová; Jiří Kodet; Richard Tesařík; Vladimir Marek","Comedy; Drama; Family; War","29937","","Musíme si pomáhat","In Nazi occupied Czechoslovakia, a childless couple agree to hide a Jewish friend at great personal risk of discovery and execution.","1.43661","Ceská Televize; Total HelpArt T.H.A.","Czech Republic","2000-03-16","0.0","120.0","Český; Deutsch","Released","","Divided We Fall","7.6","11.0"
"False","0","Tia Carrere; Matt Corboy; Dakota Fanning; Jillian Henry; Jason Scott Lee; Kevin McDonald; David Ogden Stiers; Chris Sanders; Kunewa Mook; William J. Caparella; Holliston Coleman; Jennifer Hale; Liliana Mumy; Emily Osment; Paul Vogt; Grace Rolek","Animation; Comedy; Family","20760","","Lilo & Stitch 2: Stitch has a Glitch","Now, we find the rowdy extraterrestrial getting used to life with his new ohana. However, a malfunction in the ultimate creation of Dr. Jumba soon emerges, which reinstates his destructive programming and threatens to both ruin his friendship with Lilo and to short him out for good!","10.971661","Walt Disney Pictures","United States of America","2005-01-29","0.0","68.0","English","Released","","Lilo & Stitch 2: Stitch has a Glitch","6.3","246.0"
"False","0","Booboo Stewart; Dove Cameron; Keegan Connor Tracy; Stephanie Bennett; Dan Payne; Cameron Boyce; Sofia Carson; Kristin Chenoweth; Brenna D'Amico; Mitchell Hope; Kristin Chenoweth; Maz Jobrani; Jedidiah Goodacre; Zachary Gibson","Adventure; Action; Comedy; Family","277217","fairy tale; villain; teen movie; teenager","Descendants","A present-day idyllic kingdom where the benevolent teenage son of King Adam and Queen Belle offers a chance of redemption for the troublemaking offspring of Disney's classic villains: Cruella De Vil (Carlos), Maleficent (Mal), the Evil Queen (Evvie) and Jafar (Jay).","12.603719","Walt Disney Television","United States of America","2015-07-31","0.0","112.0","English","Released","They're not bad. They're just born that way.","Descendants","6.7","505.0"
"False","0","Katrina Law; Donna Mills; Aaron O'Connell; Melanie Nelson","Family; TV Movie","363483","christmas","12 Gifts of Christmas","When Anna Parisi, an unemployed fine arts painter, is unable to make ends meet, she is hired to become a personal Christmas shopper for Marc, an uptight corporate exec.  As they begin working together, Marc learns that Christmas giving has less to do with the amount of money spent and more to do with the importance of the gift, while Anna discovers she might find success as an artist in a way she never expected.  The best gift of all of course is the love they discover with one another.","1.002746","","","2015-11-26","0.0","84.0","English; Français","Released","","12 Gifts of Christmas","5.8","20.0"
"False","0","Emily Osment; David Henrie; Jason Earles; Jonathan Keltz","TV Movie; Action; Adventure; Comedy; Family","22084","","Dadnapped","Melissa has a bad case of sibling rivalry, only her competition is a fictional character in her father's best-selling novel about a teenage super spy. When her father is """"dadnapped"""" by a group of overzealous fans, it's up to Melissa to help him by tapping her inner superhero.","6.60929","Salty Pictures","United States of America","2009-01-01","0.0","84.0","English","Released","","Dadnapped","4.6","65.0"
"False","0","Tom Burlinson; Richard Morgan; Judy Morris","Drama; Family","36527","horse; horse racing","Phar Lap","Phar Lap, the big bold chestnut reigned as the king of the turf in the depression that gripped Australia of the 1930s. From his humble beginnings the New Zealand bred horse raced on to become the hero of a nation.","0.709445","John Sexton Productions","Australia","1983-08-11","0.0","107.0","English","Released","","Phar Lap","7.3","9.0"
"False","0","James Stewart; Richard Widmark; Shirley Jones; Linda Cristal; Andy Devine; John McIntire; Paul Birch; Willis Bouchey; Henry Brandon; Harry Carey, Jr.; Olive Carey; Ken Curtis; Chet Douglas; Annelle Hayes; Woody Strode; John Qualen; Jeanette Nolan; Anna Lee; Ford Rainey; O.Z. Whitehead","Western","32634","comanche","Two Rode Together","Two tough westerners bring home a group of settlers who have spent years as Comanche hostages.","14.936586","Columbia Pictures Corporation","United States of America","1961-07-26","0.0","109.0","English","Released","TOGETHER...THEY RODE INTO A THOUSAND DANGERS!","Two Rode Together","6.1","26.0"
"False","0","Austin Highsmith; Jesse Johnson; Ryan Doom; Josh Kelly; Katie Lowes; John Bishop","Mystery; Horror","31687","horror; mystery; t-horror","Circle of Eight","Jessica moves into a loft on the eighth floor of a Los Angeles apartment building called The Dante. The other tenants all seem friendly at first, but when she starts witnessing horrible deaths, she must team up with her neighbor Evan (Doom) to solve the mystery -- and uncover her own connection to the place.","2.285697","Bronson Avenue; Paramount Pictures Digital Entertainment; Mountain Dew Green Label Studios; Milchan / Van Eyssen","","2009-10-27","0.0","84.0","English","Released","","Circle of Eight","3.6","21.0"
"False","5000000","Jim Caviezel; Jaimie Alexander; Chiwetel Ejiofor; Jack McBrayer; Bradley Whitford; Sam Shepard; Hal Holbrook; Tracey Walter; Simone Griffeth; Clay Chappell; Chip Lane; Anthony Paderewski; Geoff McKnight; Michael R. Long; Mark Tymchyshyn; Jimmy Hager; Chip Lane; Greyson Turner","Romance; History; Drama; Family","207871","woman director","Savannah","Savannah is the true story of Ward Allen, a romantic and bombastic character who rejects his plantation heritage for the freedom of life on a river. Ward navigates the change of early 20th century America on the wrong side of the law and society, his long-time friend, a freed slave named Christmas Moultrie, at his side. Master of Shakespeare, and the shotgun that provides Savannah's markets with fowl, Ward fights for his rights as a hunter. His charisma and eloquent rhetoric win the heart of a society woman who defies her father to marry him. An elderly Moultrie tells the story of life on the river with his friend to a little boy, who passes the legendary Ward Allen down to the next generation.","1.663204","Meddin Studios; Unclaimed Freight Productions","United States of America","2013-04-25","0.0","101.0","English","Released","","Savannah","5.9","7.0"
"False","0","Frank Sinatra; Lee Remick; Jacqueline Bisset; Ralph Meeker; Jack Klugman; Horace McMahon; Lloyd Bochner; William Windom; Tony Musante; Al Freeman, Jr.; Robert Duvall; Pat Henry; Patrick McVey; Dixie Marquis; Sugar Ray Robinson; Renée Taylor; James Inman; Tom Atkins; Joe Santos; George Plimpton","Drama; Mystery; Thriller","42636","police detective; gay man; gritty","The Detective","Police detective Joe Leland investigates the murder of a homosexual man. While investigating, he discovers links to official corruption in New York City in this drama that delves into a world of sex and drugs.","0.782194","Arcola Pictures","United States of America","1968-05-28","0.0","114.0","English","Released","An adult look at a police detective","The Detective","6.3","13.0"
"False","0","Madeleine Stowe; Aidan Quinn; James Remar; Peter Friedman; Bruce A. Young; Laurie Metcalf; Matt Roth; Lia D. Mortensen","Mystery; Crime; Drama; Thriller","26203","killer; blindness","Blink","Emma is an attractive girl in her 20s who has been blind for 20 years. A new type of eye operation partially restores her sight, but she is having problems: sometimes she doesn't """"remember"""" what she's seen until later. One night she is awakened by a commotion upstairs. Peering out of her door, she sees a shadowy figure descending the stairs. Convinced that her neighbour has been murdered she approaches the police, only to find that she is unsure if it was just her new eyes playing tricks on her.","3.00282","New Line Cinema","United States of America","1994-01-26","16668552.0","106.0","English","Released","What you can't see, can kill you.","Blink","6.3","45.0"
"False","0","Kyle Schmid; Robert Ri'chard; Kaley Cuoco; Mimi Paley; Joey Wilcots; Matt McCoy; Hardee T. Lineham","Family; Drama; Comedy","72753","","Alley Cats Strike","A group of hip retro teenage outsiders become involved in an interschool bowling rivalry.","0.920318","","","2000-03-18","0.0","103.0","English","Released","The Only Way To Settle The Score Is To Take It To The Alley!","Alley Cats Strike","5.0","10.0"
"False","0","","Drama; Family; Fantasy; Music","15552","","Cirque du Soleil: Varekai","Icarus (Anton Chelnokov) is the main character of Varekai, who falls to the ground, breaking his legs as he does. He is suddenly in a strange, new world full of creatures he has never seen before. """"Parachuted into the shadows of a magical forest, a kaleidoscopic world populated by fantastical creatures, this young man sets off on an adventure both absurd and extraordinary.","2.312374","","","2003-10-07","0.0","0.0","English","Released","","Cirque du Soleil: Varekai","8.7","3.0"
"False","0","Margaret Lockwood; James Mason; Barbara Mullen; Dennis Price; Helen Haye; Michael Shepley; Dulcie Gray; Ernest Thesiger; Henry B. Longhurst","Drama; Mystery; Thriller","29368","possession; murder; old house; haunted manor","A Place of One's Own","An elderly couple move into an old, supposedly haunted abandoned house. A young girl comes to live with the pair as a companion for the wife. However, soon the girl is possessed by the spirit of another girl, a wealthy woman who had once lived in the house but who had been murdered there.","1.110736","Gainsborough Pictures","United Kingdom","1945-05-28","0.0","92.0","English","Released","","A Place of One's Own","4.3","7.0"
"False","3000000","Kathryn Beaumont; Verna Felton; Ed Wynn; Richard Haydn; Sterling Holloway; Jerry Colonna; J. Pat O'Malley; Bill Thompson; Heather Angel; Joseph Kearns; Larry Grey; Queenie Leonard; Dink Trout; Doris Lloyd; James MacDonald","Animation; Adventure; Family; Fantasy","12092","cat; dream; queen; heart; animation; nothing; tea party","Alice in Wonderland","On a golden afternoon, young Alice follows a White Rabbit, who disappears down a nearby rabbit hole. Quickly following him, she tumbles into the burrow - and enters the merry, topsy-turvy world of Wonderland! Memorable songs and whimsical escapades highlight Alice's journey, which culminates in a madcap encounter with the Queen of Hearts - and her army of playing cards!","16.488937","RKO Radio Pictures; Walt Disney Productions","United States of America","1951-07-03","572000000.0","75.0","English","Released","A world of wonders in One Great Picture","Alice in Wonderland","7.0","1557.0"
"False","0","Aleksandr Pal; Igor Jijikine; Kristina Kazinskaya; Aleksandr Ilin; Vladimir Sychyov","Thriller; Comedy; Mystery","354296","","Парень с нашего кладбища","Twenty five years old Kolya starts to work as a cemetery night guard after moving to Moscow from province.","0.546922","CTB Film Company","Russia","2015-09-03","0.0","84.0","Pусский","Released","","The Guy from Our Cemetery","5.4","7.0"
"False","0","George Lopez; Frances Fisher; Jake Busey; Emily Osment; Sebastian Roché; Madison Pettis; Miguel Ferrer; Odette Annable; Nick Eversman; Ernie Hudson; Lacey Chabert; Kay Panabaker","Comedy; Family","105965","","Beverly Hills Chihuahua 3 - Viva La Fiesta!","When Papi &amp; co move into a luxurious hotel, his youngest pup Rosa feels neglected and he must show her how special she is.","4.01161","Walt Disney Pictures","United States of America","2012-09-03","0.0","89.0","Nederlands; English; Deutsch; svenska","Released","Family Always Matters","Beverly Hills Chihuahua 3 - Viva La Fiesta!","5.8","33.0"
"False","0","Engin Akyurek; Farah Zeynep Abdullah; Ceren Moray; Ebru Aykaç; Ege Aydan","Mystery; Romance; Drama","256546","amnesia; turkey; drama; romance; thriller; accident; turkish movie","Bi Küçük Eylül Meselesi","A beautiful girl who has everything. Charming, playful, in her own words: 'too joyful to fall in love.' A sudden car crash, and her heart stops for a few minutes. When she wakes up, everyone assures 'every-thing's alright.' But she knows it isn't. Because she cant remember her final month; a September of her life is missing. Leading a trail of hastily covered clues she finds herself in a remote Aegean island. A weird looking, grubby recluse, comes up-to him and proclaims: 'Don't you remember me? I'm the man you fell in love with.' Everything sensible about her screams 'get out of there' but she follows her memories right onto the tragic end of a miraculous affair.","1.731338","","Turkey","2014-02-14","0.0","102.0","Türkçe","Released","","A Small September Affair","7.4","20.0"
"False","0","Emma Bolger; Max von Sydow; Pauline McLynn; Geraldine Chaplin; Sam Friend; Jessica Claridge","Drama; Family; Foreign","43625","alps","Heidi","Swiss girl Adelheid 'Heidi' is orphaned young. Aunt Detie brings her to grandpa Alp and his wife, who live isolated in the Alps since his murder charge. Heidi soon takes to the wild country, especially accompanying young goatherd Peter. Grandpa refuses to send her to school in the city, but aunt Detie returns and forces him to give in. She's sent to a posh lady in Frankfurt, where she'll be a companion for crippled daughter Clara after school hours.","0.64338","","United Kingdom","2005-08-19","0.0","97.0","English","Released","","Heidi","6.5","4.0"
"False","2","James Woods; Lesley Ann Warren; Charles Durning; Charles Haid; Raymond J. Barry; Randi Brooks; Steven Lambert; Christopher Wynne; Jan McGill; Vicki Wauchope","Crime; Drama; Mystery; Thriller","31701","prostitute; rape; based on novel; sports car; homophobia; shotgun; coffee; machinegun; pizza; daughter; police; psychopath; high school; stalker; dysfunctional family; shootout; police officer killed; feminist; dirty cop; officer involved shooting; male prostitute; rogue cop; vulgarity; poetry quote; crime scene; burglary; mercilessness; internal affairs; writing in blood; cigarette smoking; drug dealing; police corruption; school yearbook; family abandonment; payphone; los angeles; neo-noir","Cop","An obsessive, insubordinate homicide cop is convinced a serial killer is loose in the Hollywood area and disobeys orders in order to catch him.","2.478231","Atlantic Entertainment Group; Harris-Woods Productions","United States of America","1988-01-01","0.0","110.0","English","Released","A killer on the loose. A cop on the edge.","Cop","6.6","18.0"
"False","0","Barbra Streisand; Yves Montand; Bob Newhart; Larry Blyden; Simon Oakland; Jack Nicholson; John Richardson; Pamela Brown; Irene Handl; Roy Kinnear; Peter Crowcroft; Byron Webster; Mabel Albertson; Laurie Main; Kermit Murdock","Action; Drama; Family; Romance","38222","hypnosis; musical","On a Clear Day You Can See Forever","Under hypnosis while trying to quit smoking, the main character Daisy Gamble revisits past lives and different personalities","3.453076","Paramount Pictures","United States of America","1970-06-17","0.0","129.0","English","Released","Look into my eyes.","On a Clear Day You Can See Forever","6.0","12.0"
"False","0","Takako Matsu; Haru Kuroki; Satoshi Tsumabuki; Chieko Baishô; Yui Natsukawa; Yukijiro Hotaru; Isao Hashizume; Kazuko Yoshiyuki; Takatarô Kataoka; Hidetaka Yoshioka; Shigeru Muroi; Takashi Sasano","Drama; Family; History","254679","biography; love","小さいおうち","Following the death of the unmarried and childless Taki, Takeshi, a young relative of hers, discovers several pages of closely written lines in which the old lady has recorded her memories. This is how he learns the truth about her youth working as a housemaid and nanny for the Hirai family in a little house in Tokyo with a red gabled roof.","1.212353","Shochiku Company; TV Asahi; Sumitomo Corporation","Japan","2014-01-25","0.0","136.0","日本語","Released","","The Little House","6.7","15.0"
"False","90000000","Eddie Murphy; Terence Stamp; Nathaniel Parker; Marsha Thomason; Jennifer Tilly; Dina Spybey-Waters; Wallace Shawn; Marc John Jefferies; Jim Doughan; Rachael Harris; Steve Hytner; Aree Davis; Heather Juergensen; Jeremy Howard; Deep Roy; Clayton Martinez; Bridget Brno; Gregg London; John Alexander; Zach Minkoff; Shelby Grimm; Harry J. Campbell; William T. Lewis; Tim Reeder; Bob Hartley","Thriller; Fantasy; Comedy; Family; Mystery","10756","secret passage; magic; estate agent; haunted house; family vacation; ghost; aftercreditsstinger","The Haunted Mansion","Workaholic Jim Evers and his wife/business partner, Sara get a call one night from mansion owner, Edward Gracey wants to sell his house. Once the Evers family arrive at the mansion a butler takes them to dine with Gracey. Gracey takes one look at Sara and he thinks she's his lost lover.","11.605735","Walt Disney Pictures; Gunn Films; Doom Buggy Productions","United States of America","2003-11-25","182290266.0","87.0","English","Released","Check your pulse at the door... if you have one.","The Haunted Mansion","5.1","481.0"
"False","90000000","Jesse Eisenberg; Woody Harrelson; Mark Ruffalo; Dave Franco; Morgan Freeman; Michael Caine; Lizzy Caplan; Daniel Radcliffe; Jay Chou; Henry Lloyd-Hughes; Sanaa Lathan; Justine Wachsberger; Alexandra Fraser; David Warshofsky; Tsai Chin; Ben Lamb; Lasco Atkins; Amber Elizabeth; Alexander Cooper; Judit Novotnik; Richard Laing; Alexa Brown; William Henderson; Brick Patrick; Zach Gerard; Fenfen Huang; Aaron Ly; Cyd Casados; Jem Wilner; James Richard Marshall; Karl McMillan; Jim Pirri; Christopher Logan; Varada Sethu; Michael Walters; Simon Connolly; Dino Fetscher; Martin Delaney; Nichole Bird; Danielle Bird; Michael Cooke; John Cooke; Greg McKenzie; Michael McKenzie; Tai Yin Chan; Bruce Chong; Missy Malek; Krystal Ellsworth; Jessica Lee Keller; Krysada Phounsiri; Luis Rosado; Karl Hussain; Savannah Guthrie; Emmanuel Akwafo; Jozef Aoki; Mairead Armstrong; Alphonso Austin; Raj Awasti; David Olawale Ayinde; Gia Marie Barbera; Tim Baros; Lauren Beacham; Gintare Beinoraviciute; Marc Benanti; Paul Blackwell; Annarie Boor; Greg Brummel; David Burge; Perry Burke; Leona Carlo; Yue Ting Cheng; Richard Clark; Bern Collaco; Pamela Betsy Cooper; Tim Dayman; Andrew Dunkelberger; Cameron Edwards; Don Sebastian Fula; Jesse Michael Fullington; Alexander Furno; Kevin Fyfe; Melissa Galloway; Don Gayle; Gemma George; David Georgiou; Claire Greasley; Guna Gultniece; Mark Haldor; Jane Hardcastle; Lee Nicholas Harris; Richard Herdman; Vera Horton; Kornelia Horvath; Ty Hurley; Jahmilla Jackson; Dolly Jagdeo; Oliver Jolliffe; Zoey Callandria Jones; Vivien Kent; Attila G. Kerekes; Paul Kerry; Irina Klimovich; Nina Kumar; Candice Lam; Kim-Anh Le-Pham; Jorge Leon Martinez; Rogers Leona; Sonu Louis; Nada Maache; João Magalhães; Teresa Mahoney; Sid Man; Rita McDonald Damper; Erica Melargo; Andy Mihalache; Anthony Milton; Shina Shihoko Nagai; Celina Nessa; Emily Ng; Jason Nicholls; Kapish OJO; Tatsujiro Oto; Gloria Peñaranda; Lovell Richards; Boyd Rogers; Aaron Sequerah; Vinita Sharma; Clem So; Conny Stadler; Richard Stanley; A.k. Steppa; Vince Taylor; Nadia Townsend; Vassiliki Tzanakou; Maureen Warrington; Daniel Westwood; Jo Wheatley; Arthur Wilde; Evie Wray; Miroslav Zaruba; Tatiana Zarubova","Action; Adventure; Comedy; Crime; Mystery; Thriller","291805","london england; china; magic; secret society; vigilante; sequel; revenge; heist; on the run; macau china; magician","Now You See Me 2","One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.","39.540653","Summit Entertainment; Lionsgate; K/O Paper Products; TIK Films","Canada; China; United Kingdom; United States of America","2016-06-02","334901337.0","129.0","普通话; English","Released","You Haven't Seen Anything Yet","Now You See Me 2","6.7","3362.0"
